"ControlName";"JSONfield";"ControlType";"ListElement";"Divideby";"Labels"
"zigguratYDisplaceSB16";"displace_y_b";"slider";16;1;"none"
"zigguratYDisplaceSB17";"displace_y_b";"slider";17;1;"none"
"zigguratYDisplaceSB18";"displace_y_b";"slider";18;1;"none"
"zigguratYDisplaceSB19";"displace_y_b";"slider";19;1;"none"
"zigguratYDisplaceSB20";"displace_y_b";"slider";20;1;"none"
"zigguratHeightExpand";"height_box_y_expand";"slider";1;1;"none"
"ziggurat1shellExpandControl";"square_nodes_size_scale";"slider";1;1;"none"
"zigguratCoreMaxHExp";"coremax_triangle_height_factor";"slider";1;1;"none"
"zigguratCoreMaxWExp";"coremax_triangle_width_factor";"slider";1;1;"none"
"zigguratoutsiders_expand_horiz";"displace_outside_component";"slider";1;1;"none"
"zigguratoutsiders_expand_vert";"displace_outside_component";"slider";2;1;"none"
"zigguratoutsiders_separation_expand";"outsiders_separation_expand";"slider";1;1;"none"
"zigguratoutsiders_legend_expand";"outsiders_legend_expand";"slider";1;1;"none"
"zigguratKcore2TailVerticalSeparation";"kcore2tail_vertical_separation";"slider";1;1;"none"
"zigguratKcore1TailDistToCore1";"kcore1tail_disttocore";"slider";1;1;"none"
"zigguratKcore1TailDistToCore2";"kcore1tail_disttocore";"slider";2;1;"none"
"zigguratkcore1specialists_leafs_vertical_separation";"kcore1specialists_leafs_vertical_separation";"slider";1;1;"none"
"zigguratInnerTailVerticalSeparation";"innertail_vertical_separation";"slider";1;1;"none"
"zigguratfattailjumphorizA";"fattailjumphoriz";"slider";1;1;"none"
"zigguratfattailjumphorizB";"fattailjumphoriz";"slider";2;1;"none"
"zigguratfattailjumpvertA";"fattailjumpvert";"slider";1;1;"none"
"zigguratfattailjumpvertB";"fattailjumpvert";"slider";2;1;"none"
"zigguratroot_specialist_expand_horiz";"root_specialist_expand";"slider";1;1;"none"
"zigguratroot_specialist_expand_vert";"root_specialist_expand";"slider";2;1;"none"
"zigguratroot_specialistskcore2_horiz";"specialistskcore2_horizontal_dist_rootleaf_expand";"slider";1;1;"none"
"zigguratroot_specialistskcore2_vert";"specialistskcore2_vertical_dist_rootleaf_expand";"slider";1;1;"none"
"zigguratroot_specialist_boxesseparation";"specialists_boxes_separation_count";"slider";1;1;"none"
"zigguratroot_specialist_expand_horiz";"root_specialist_expand";"slider";1;1;"none"
"zigguratroot_specialist_expand_vert";"root_specialist_expand";"slider";2;1;"none"
"zigguratLabelsSizekCoreMax";"lsize_kcoremax";"slider";1;1;"none"
"zigguratLabelsSizeZiggurat";"lsize_zig";"slider";1;1;"none"
"zigguratLabelsSizekCore1";"lsize_kcore1";"slider";1;1;"none"
"zigguratLabelsSizeLegend";"lsize_legend";"slider";1;1;"none"
"zigguratLabelsSizeCoreBox";"lsize_core_box";"slider";1;1;"none"
"zigguratSvgScaleFactor";"svg_scale_factor";"slider";1;25;"none"
"zigguratSVGup";"move_all_SVG_up";"slider";1;"0,01";"none"
"DataLabelGuildAControl";"label_strguilda";"textinput";1;0;"none"
"DataLabelGuildBControl";"label_strguildb";"textinput";1;0;"none"
"zigguratUseSpline";"use_spline";"checkbox";1;0;"none"
"zigguratPaintLinks";"paintlinks";"checkbox";1;0;"none"
"zigguratPaintOutsiders";"paint_outsiders";"checkbox";1;0;"none"
"zigguratweighted_links";"weighted_links";"selectinput";1;0;"none"
"zigguratColorGuildA1";"color_guild_a";"colourinput";1;0;"none"
"zigguratColorGuildA2";"color_guild_a";"colourinput";2;0;"none"
"zigguratColorGuildB1";"color_guild_b";"colourinput";1;0;"none"
"zigguratColorGuildB2";"color_guild_b";"colourinput";2;0;"none"
"zigguratColorControl";"color_link";"colourinput";1;0;"none"
"zigguratOrderkcoremaxby";"orderkcoremaxby";"radiobuttons";1;1;"valordkcoremax"
"zigguratShowLegend";"show_legend";"radiobuttons";1;1;"valShowLegendValue"
"zigguratShowTitle";"show_title";"checkbox";1;0;"none"
"bipartiteAlphaLevel";"alpha_level";"slider";1;1;"none"
"bipartiteAlphaLevelLink";"alpha_link";"slider";1;1;"none"
"bipartiteLinkSize";"size_link";"slider";1;1;"none"
"bipartiteVerticalLayout";"flip_results";"checkbox";1;1;"none"
"bipartiteShowLegend";"show_legend";"radiobuttons";1;1;"valShowLegendValue"
"bipartitePlottype";"style";"radiobuttons";1;1;"valPlottype"
"bipartiteShowTitle";"show_title";"checkbox";1;0;"none"
"bipartiteweighted_links";"weighted_links";"selectinput";1;0;"none"
"bipartiteColorGuildA1";"color_guild_a";"colourinput";1;0;"none"
"bipartiteColorGuildA2";"color_guild_a";"colourinput";2;0;"none"
"bipartiteColorGuildB1";"color_guild_b";"colourinput";1;0;"none"
"bipartiteColorGuildB2";"color_guild_b";"colourinput";2;0;"none"
"bipartiteColorControl";"color_link";"colourinput";1;0;"none"
"bipartiteGuildgapincrease";"guild_gap_increase";"slider";1;1;"none"
"bipartiteZoomSVG";"zoom_svgplot";"slider";1;1;"none"
"bipartiteLabelsSize";"lsize_kcoremax";"slider";1;1;"none"
"matrixOrderby";"orderby";"radiobuttons";1;1;"valordmatrix"
"matrixColorGuildA";"color_guild_a";"colourinput";2;0;"none"
"matrixColorGuildB";"color_guild_a";"colourinput";2;0;"none"
"matrixShowTitle";"flip_matrix";"checkbox";1;0;"none"
"matrixWeights";"links_weight";"checkbox";1;0;"none"
"matrixShowNames";"show_species_names";"checkbox";1;0;"none"
"matrixShowTitle";"show_title";"checkbox";1;0;"none"
"matrixShowLegend";"show_legend";"checkbox";1;1;"none"
"matrixRotate";"flip_matrix";"checkbox";1;1;"none"
"matrixTextresize";"label_size";"slider";1;18;"none"
"polarLabelsSizeTitle";"lsize_title";"slider";1;1;"none"
"polarLabelsSizeLegend";"lsize_legend";"slider";1;1;"none"
"polarLabelsSizeLegendTitle";"lsize_legend_title";"slider";1;1;"none"
"polarDisplayText";"printable_labels";"slider";1;1;"none"
"polarAlphaLevel";"alpha_nodes";"slider";1;1;"none"
"polarFillNodes";"fill_nodes";"checkbox";1;0;"none"
"polarPrintTitle";"print_title";"checkbox";1;0;"none"
