"","Ahasverus advena ","Allograpta nasuta","Apis mellifera","Bactrocera cucurbitae","Brachymyrmex sp1 M_PL_066","Cerambycidae sp1 M_PL_066","Ceratitis roas","Chaetocnema sp1 M_PL_066","Chrysomya megacephala ","Dioxyna sororcula ","Fannia pusio ","Hippotion eson","Ischiodon aegyptius ","Lauxania sp1 M_PL_066","Lygistorrhina sp1 M_PL_066","Macroglossum milvus","Melanostoma bituberculatum ","Mordellidae sp1 M_PL_066","Musca domestica","Nacoleia sp1 M_PL_066","Ornidia obesa","Orthellia albigena ","Pachycerina crinicornis ","Panara naso","Paragus borbonicus","Phalanta phalantha","Phelsuma cepediana","Phorinia sp1 M_PL_066","Polistes hebraeus","Psilopa iceryae ","Sapromyza sp1 M_PL_066","Sepsis lateralis ","Siphona sp1 M_PL_066","Stomorhina lunata","Stomoxys calcitrans","Syritta sp1 M_PL_066","Technomyrmex albipes ","Villa unifasciata","Zosterops mauritianus"
"Gaertnera petrinensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Gaertnera rotundifolia",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera sp1 M_PL_066",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
"Grangeria borbonica",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Helichrysum proteoides",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labourdonnaisia callophylloides",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,15,0,0
"Mimusops erythroxylon",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monimiastrum globosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"Ocotea laevigata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Olea lancea",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pandanus barklyi",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Pandanus wiehii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Phyllanthus phillyreifolius",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0
"Psiadia terebinthina",0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,2,0
"Pyrostria fasciculata",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Sideroxylon puberulum",0,0,13,0,0,0,3,0,3,1,1,0,0,0,7,0,2,0,3,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
"Smilax anceps",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stillingia lineata",0,0,1,0,0,0,0,3,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Warneckea trinervis",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
