,StAndrewsLodge,LoyalNine,NorthCaucus,LongRoomClub,TeaParty,BostonCommittee,LondonEnemies
Peck_Thomas,0,0,1,0,0,0,0
Peters_John,0,0,0,0,1,0,0
Phillips_John,1,0,0,0,0,0,0
Phillips_Samuel,0,0,0,1,0,0,0
Phillips_William,0,0,0,0,0,0,1
Pierce_William,0,0,0,0,1,0,0
Pierpont_Robert,0,0,0,0,0,1,0
Pitts_John,0,0,0,0,0,0,1
Pitts_Lendall,0,0,0,0,1,0,0
Pitts_Samuel,0,0,0,0,0,0,1
Porter_Thomas,0,0,0,0,1,0,0
Potter_Edward,1,0,0,0,0,0,0
Powell_William,0,0,0,0,0,1,1
Prentiss_Henry,0,0,0,0,1,0,0
Prince_John,0,0,0,0,1,0,0
Prince_Job,0,0,0,0,0,0,1
Proctor_Edward,0,0,1,0,1,0,1
Pulling_John,0,0,1,0,0,0,1
Pulling_Richard,1,0,0,0,0,0,0
Purkitt_Henry,0,0,0,0,1,0,0
Quincy_Josiah,0,0,0,1,0,1,0
Randall_John,0,0,0,0,1,0,0
Revere_Paul,1,0,1,1,1,0,1
Roby_Joseph,0,0,0,0,1,0,0
Roylson_Thomas,0,0,0,0,0,0,1
Ruddock_Abiel,0,0,1,0,0,0,1
Russell_John,0,0,0,0,1,0,0
Russell_William,0,0,0,0,1,0,0
Sessions_Robert,0,0,0,0,1,0,0
Seward_James,1,0,0,0,0,0,0
Sharp_Gibbens,0,0,1,0,0,0,0
Shed_Joseph,0,0,0,0,1,0,0
Sigourney_John,0,0,1,0,0,0,0
Simpson_Benjamin,0,0,0,0,1,0,0
Slater_Peter,0,0,0,0,1,0,0
Sloper_Ambrose,1,0,0,0,0,0,0
Smith_John,0,1,0,0,0,0,0
Spear_Thomas,0,0,0,0,1,0,0
Sprague_Samuel,0,0,0,0,1,0,0
Spurr_John,0,0,0,0,1,0,0
Stanbridge_Henry,1,0,0,0,0,0,0
Starr_James,0,0,0,0,1,0,0
Stearns_Phineas,0,0,0,0,1,0,0
Stevens_Ebenezer,0,0,0,0,1,0,0
Stoddard_Asa,0,0,1,0,0,0,0
Stoddard_Jonathan,0,0,1,0,0,0,0
Story_Elisha,0,0,1,0,1,0,0
Swan_James,0,0,1,0,1,0,0
Sweetser_John,0,0,0,0,0,1,0
Symmes_Eben,0,0,1,0,0,0,0
Symmes_John,0,0,1,0,0,0,0
Tabor_Philip,1,0,0,0,0,0,0
Tileston_Thomas,0,0,1,0,0,0,0
Trott_George,0,1,0,0,0,0,0
Tyler_Royall,0,0,0,1,0,0,0
Urann_Thomas,1,0,1,0,1,0,0
Vernon_Fortesque,0,0,0,0,0,0,1
Waldo_Benjamin,0,0,0,0,0,0,1
Warren_Joseph,1,0,1,1,0,1,1
Webb_Joseph,1,0,0,0,0,0,0
Webster_Thomas,1,0,0,0,0,0,0
Welles_Henry,1,1,0,0,0,0,0
Wendell_Oliver,0,0,0,0,0,1,1
Wheeler_Josiah,0,0,0,0,1,0,0
White_Samuel,0,0,1,0,0,0,0
Whitten_John,1,0,0,0,0,0,0
Whitwell_Samuel,0,0,0,0,0,0,1
Whitwell_William,0,0,0,0,0,0,1
Williams_Jeremiah,0,0,0,0,1,0,0
Williams_Jonathan,0,0,0,0,0,0,1
Williams_Thomas,0,0,0,0,1,0,0
Willis_Nathaniel,0,0,0,0,1,0,0
Wingfield_William,1,0,0,0,0,0,0
Winslow_John,0,0,0,1,0,0,0
Winthrop_John,0,0,1,0,0,0,1
Wyeth_Joshua,0,0,0,0,1,0,0
Young_Thomas,0,0,1,0,1,1,0
