"","Adelomyia melanogenys","Aglaiocercus coelestis","Amazilia franciae","Amazilia tzacatl","Boissonneaua flavescens","Boissonneaua jardini","Calliphlox mitchellii","Coeligena wilsoni","Colibri coruscans","Colibri cyanotus","Colibri delphinae","Doryfera ludovicae","Florisuga mellivora","Heliodoxa imperatrix","Heliodoxa rubinoides","Ocreatus underwoodii","Phaethornis syrmatophorus","Thalurania colombica","Urosticte benjamini"
"Kalanchoe sp1 M_PL_074_01",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Kohleria spicata",0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Lamiaceae sp1 M_PL_074_01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"Lecythidaceae sp1 M_PL_074_01",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leguminosae sp1 M_PL_074_01",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania pentaptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Macleania recumbens",0,15,0,8,0,0,3,5,0,0,0,1,0,0,0,0,0,0,0
"Malvaviscus arboreus",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melastomataceae sp1 M_PL_074_01",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0
"Musa sp2 M_PL_074_01",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orchidaceae sp1 M_PL_074_01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"Palicourea anderssoniana",0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0
"Palicourea demissa",0,29,0,2,0,3,0,2,2,0,1,0,0,0,0,77,0,0,2
"Palicourea sodiroi",1,0,0,0,0,0,0,2,0,0,0,17,0,0,0,1,0,0,1
"Passifloraceae sp1 M_PL_074_01",0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pitcairnia nigra",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
"Psammisia aberrans",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
"Psammisia ecuadorensis",0,6,0,0,0,0,0,37,0,0,0,9,0,0,0,1,0,0,0
"Psammisia oreogenes",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psammisia pauciflora",0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Psammisia sodiroi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Psammisia ulbrichiana",0,1,0,0,0,0,0,45,0,0,0,12,0,0,0,29,0,0,59
"Renealmia sessilifolia",0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0
"Rubiaceae sp3 M_PL_074_01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Rutaceae sp1 M_PL_074_01",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"Salvia sp1 M_PL_074_01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"Sambucus sp1 M_PL_074_01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Sarcopera sp1 M_PL_074_01",0,17,0,3,1,33,0,3,23,0,2,0,0,0,0,21,0,0,9
