"","Abundance","Agapostemon virescens","Andrena banksi","Andrena confederata","Andrena hilaris","Andrena imitatrix","Andrena perplexa","Andrena spiraeana","Andrena vicina","Anthophora abrupta","Apis mellifera","Augochlora pura","Augochlorella aurata","Augochloropsis metallica","Bombus auricomus","Bombus bimaculatus","Bombus griseocollis","Bombus impatiens","Bombus perplexus","Ceratina calcarata","Ceratina sp1 M_PL_073","Ceratina strenua","Coelioxys sayi","Colletes thoracicus","Halictus confusus","Hylaeus sp1 M_PL_073","Lasioglossum birkmani","Lasioglossum cressonii","Lasioglossum ephialtum","Lasioglossum fuscipenne","Lasioglossum hitchensi","Lasioglossum imitatum","Lasioglossum macoupinens","Lasioglossum oblongum","Lasioglossum obscurum","Lasioglossum quebecense","Lasioglossum sp1 M_PL_073","Lasioglossum subviridatum","Lasioglossum tegulare","Lasioglossum weemsi","Megachile mendica","Melissodes bimaculata","Ptilothrix bombiformus"
"Rudbeckia hirta",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rudbeckia laciniata",40,0,0,0,0,0,0,0,0,0,0,32,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Satchys tenuifolia",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Scrophularia marilandica",34,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0
"Solanum carolinense",28,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solidago sp1 M_PL_073",21,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Symphiotrichum lanceolatum",23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Verbena hastata",59,0,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,22,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Verbena urticifolia",56,0,0,0,0,0,0,0,0,0,4,31,5,1,0,0,0,0,1,8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Verbesina alternifolia",15,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
