"Name";"Species";"kradius";"kdegree";"kshell";"krisk";"degree"
"Lasioglossum evylaeus";"Pollinator29";1.44444444444444;6.88281384937732;4;7.04;13
"Lucilia sp1 M_PL_058";"Pollinator30";2.55555555555556;1.48868778280543;3;0.03;3
"Macroglossum stellatarum";"Pollinator31";2.77777777777778;0.777777777777778;1;0.01;1
"Sphecodes marginatus ";"Pollinator32";3.44444444444444;0.368421052631579;1;0.01;1
"Tachina canariensis";"Pollinator33";3.44444444444444;0.411764705882353;1;0.01;1
"Thysanoptera sp1 M_PL_058";"Pollinator34";2.77777777777778;0.538461538461538;1;0.01;1
"Unidentified sp1 M_PL_058";"Pollinator35";2.11111111111111;2.80492709904475;4;1.04;5
"Unidentified sp11 M_PL_058";"Pollinator36";2.55555555555556;1.07692307692308;2;0.02;2
"Unidentified sp13 M_PL_058";"Pollinator37";2.55555555555556;1.31623931623932;2;0.02;2
"Unidentified sp17 M_PL_058";"Pollinator38";3.44444444444444;0.411764705882353;1;0.01;1
"Unidentified sp18 M_PL_058";"Pollinator39";2.77777777777778;0.538461538461538;1;0.01;1
"Unidentified sp21 M_PL_058";"Pollinator40";3;0.411764705882353;1;0.01;1
"Unidentified sp22 M_PL_058";"Pollinator41";2.77777777777778;0.538461538461538;1;0.01;1
"Unidentified sp23 M_PL_058";"Pollinator42";2.77777777777778;0.538461538461538;1;0.01;1
"Unidentified sp3 M_PL_058";"Pollinator43";2.55555555555556;1.91201079622132;3;1.03;4
"Unidentified sp30 M_PL_058";"Pollinator44";3;0.466666666666667;1;0.01;1
"Unidentified sp31 M_PL_058";"Pollinator45";3;0.466666666666667;1;0.01;1
"Unidentified sp34 M_PL_058";"Pollinator46";2.77777777777778;0.538461538461538;1;0.01;1
"Unidentified sp4 M_PL_058";"Pollinator47";2.55555555555556;1.96732026143791;3;0.03;3
"Unidentified sp5 M_PL_058";"Pollinator48";2.55555555555556;1.48868778280543;3;0.03;3
"Unidentified sp6 M_PL_058";"Pollinator49";2.55555555555556;1.78290598290598;3;0.03;3
"Unidentified sp8 M_PL_058";"Pollinator50";2.55555555555556;1.07692307692308;2;0.02;2
"Unidentified sp9 M_PL_058";"Pollinator51";2.77777777777778;1.00512820512821;2;0.02;2
"Argyranthemum frutescens";"Plant1";1.85714285714286;6.61482133427214;4;22.04;14
"Bituminaria bituminosa";"Plant2";1.85714285714286;3.69663584497344;4;2.04;6
"Ceballosia fruticosa";"Plant3";2.71428571428571;1.37393462077894;2;1.02;3
"Convolvulus floridus";"Plant4";2.14285714285714;5.5492530657748;3;11.03;12
"Echium aculeatum";"Plant5";1.57142857142857;3.28054298642534;4;0.04;5
"Echium plantagineum";"Plant6";1.57142857142857;3.87201034259858;4;1.04;6
"Euphorbia canariensis";"Plant7";2.42857142857143;4.54989092106683;3;11.03;12
"Euphorbia obtusifolia";"Plant8";1.85714285714286;7.50062105884424;4;25.04;17
"Fagonia albiflora";"Plant9";2.71428571428571;1.42857142857143;2;0.02;2
"Galactites tomentosa";"Plant10";1.28571428571429;5.41973182020564;4;8.04;10
"Lavandula buchii";"Plant11";1.28571428571429;6.29533515078272;4;11.04;12
"Lotus glaucus";"Plant12";1.85714285714286;3.17970265029089;4;1.04;5
"Oxalis pes-caprae";"Plant13";2.42857142857143;2.33766148599908;3;2.03;5
"Plocama pendula";"Plant14";1.85714285714286;4.55801236319206;4;12.04;9
"Scandix pecten-veneris";"Plant15";3.57142857142857;0.987906976744186;1;0.01;4
"Sideritis argosphacelus";"Plant16";2.14285714285714;2.61302380483966;3;0.03;4
"Sideritis nervosa";"Plant17";2.42857142857143;2.12087912087912;3;0.03;3
